Immagine;Didascalia;Denominazione;Localita;Indirizzo;Civico;Comune;Telefono;Email;SitoWeb;Categoria;Categoria Secondaria;Latitudine;Longitudine;orario;noteorario;Ingresso
;;Pinacoteca dell?Arte dei Bambini;ex Scuola Elementare;via A. C. Nobili;11;SMERILLO;0734.79423;info@smerillo.com;http://www.smerillo.com;Specializzato;;43.0049;13.4448;Sabato 16-18, domenica 15,30-18,30, gruppi su prenotazione.;;Ingresso gratuito
;;Pinacoteca del Mare;Palazzo Piacentini;Via del Consolato;12;SAN BENEDETTO DEL TRONTO;"0735.585352; 0735.794588";musei@comunesbt.it;www.comunesbt.it;Arte;Territoriale;42.9498;13.8762;"Inverno 10-13 e 16-19 (17-20 con ora legale); Estate (dal 1� luglio al 31 agosto) 18-24. Luned� chiuso. Luned� chiuso  dalle 18 alle 24 Luned� chiuso";;Ingresso libero
;;"Pinacoteca Internazionale d'Arte Francescana contemporanea ""in nome di Francesco""";;Piazza S. Antonio;5;FALCONARA MARITTIMA;0719161480;picena01@bibliotecaofm.191.it;http://www.musan.it;Arte;;43.629;13.3925;luned� e venerd� 8.30-12.30/14.30-17.30 marted� 8.30-12.30 aperto su prenotazione per scuole/gruppi;;
;;Raccolta Archeologica Raccolte Civiche Chiesa di San Marco;Palazzo Compagnucci;Via Peranzone;1;MONTECASSIANO;0733.299811;ufficio.segreteria@comune.montecassiano.mc.it;http://www.comune.montecassiano.mc.it;Arte;Archeologia;43.3635;13.4355;MUSEO CHIUSO;MUSEO CHIUSO;
;;"Raccolta d?Arte Contemporanea ""Arte On""";complesso ex Sacet;Via Alcide De Gasperi;6;CASTEL DI LAMA;0736/811220;info@arteon.it;http://www.arteon.it;Arte;;42.8706;13.7136;L'orario viene concordato con l'utente;Orario feriale  adeguato all'utenza;
;;"Raccolta d?Arte ""Ugo Ubaldi""";Biblioteca Comunale;Via Dante Alighieri;15;PIANDIMELETO;0722.721808;biblio.piandimeleto@provincia.ps.it;www.comune.piandimeleto.pu.it;Arte;Archeologia;43.7249;12.4124;"Luned� e Venerd� dalle 15.00 alle 19.00; Mercoled� dalle 9.00 alle 12.00 e dalle 15.00 alle 19.00Gli altri giorni su prenotazione.";;ingresso gratuito
;;Raccolta della Collegiata di Santa Maria Assunta;;Via Peranzone;3;MONTECASSIANO;0733.290549;;www.comune.montecassiano.mc.it;Arte;;43.3636;13.4356;Apertura su richiesta;;Ingresso gratuito
;;"Raccolta di Fossili ""Padre Francesco Angellotti""";Palazzo dei Conventuali;via A. Gramsci;10;OSTRA;071 7980606;;;Storia naturale e scienze naturali;;43.6149;13.1592;MUSEO CHIUSO;MUSEO CHIUSO;
;;Raccolta di Grafica Contemporanea e Museo degli Antichi Mestieri Itineranti;;Piazza Francesca da Rimini;1;MONTEFELCINO;0721.729024 (Proloco) - 0721.743039 (Municipio);;www.vallediculture.it;Arte;Etnografia e antropologia;43.7355;12.8346;aperto su prenotazione;;ingresso gratuito
;;"Raccolta ""Incisori marchigiani""";Palazzo Oliva;Piazza Matteotti;4;SASSOFERRATO;0732.956231;info@comune.sassoferrato.an.it;"www.comune.sassoferrato.an.it; www.prosassoferrato.it";Arte;;43.261;12.5132;Mattino: dal marted� alla domenica, dalle 10.30 alle 12.30. Pomeriggio: nei giorni di marted�, gioved�, sabato e domenica dalle 16 alle 19. Chiuso luned�.;;"Intero: 3 ?; ridotto: 2 ?; residenti, gruppi scolstici, under 18 over 65: 1.50?"
;;Raccolta parrocchiale di Santa Maria Assunta;Chiesa di Santa Maria Assunta;Borgo Mazzini;;BARBARA;071 9674213;;http://www.comune.barbara.an.it;Arte;;43.5838;13.0258;Apertura su richiesta;;
;;Raccolte d?Arte della Fondazione Montani Antaldi;;Via Passeri;72;PESARO;0721.68861;segreteria@fondazionecrpesaro.it;www.fondazionecrpesaro.it;Arte;;43.9088;12.908;apertura su richiesta per gruppi e associazioni o in concomitanza con eventi culturali e festivit�.;;gratuito
;;Sala del Costume e delle Tradizioni Popolari;ex convento degli Agostiniani;largo XVII Settembre 1860;6;CORINALDO;071.67782/236;"iat1@corinaldo.it; p.pirani@corinaldo.it";http://www.procorinaldo.it;Etnografia e antropologia;;43.649;13.048;Apertura su richiesta;;"prezzo intero: 2 ?; prezzo ridotto: 1,5 ?"
;;Studio per le Arti della Stampa;Palazzo Pianetti vecchio;via Valle;3;JESI;073164272;sas@comune.jesi.an.it;http://www.comune.jesi.an.it/opencms/export/jesiit/sito-JesiItaliano/MenuPrincipale/VivereInCitta/ArteCultura/arti_stampa/index.html;Specializzato;;43.5228;13.2463;"Da mercoled� a sabato 10-13; mercoled� e venerd� 10-13 e 16-19.";L'apertura su richiesta � prevista in particolare per le scolaresche.;
;;Sulle Tracce dei Nostri Padri;Monastero di Montebello;via Montebello;1;ISOLA DEL PIANO;0721/720334;fondazione@alcenerocooperativa.it;www.comune.isola-del-piano.ps.it;Territoriale;;43.7375;12.7837;tutti i giorni dalle 9 alle 12 e dalle 15 alle 18, esclusi i festivi;;gratuito
;;Testimonianze di Vita Rurale nella Bassa Valle del Foglia;Villa Fastiggi;via Finali;63;PESARO;0721.281550;;www.provincia.pesaro.ps.it;Etnografia e antropologia;;43.8841;12.8675;;;gratuito
;;Trecce e Intrecci;Castelgagliardo;;;ISOLA DEL PIANO;0721.720127;comune.isola-piano@provincia.ps.it;;Territoriale;;43.7427;12.8043;Estate: aperto la domenica 16-19;Per visite su richiesta tel. 0721.720127;
;;Villa Imperiale;;Strada San Bartolo;63;PESARO;0721.69341 0721.23602;iat.pesaro@regione.marche.it;www.turismo.pesarourbino.it;Arte;;43.9209;12.8793;Apertura su richiesta;;A pagamento
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/0176/Thumbs/73267-H.jpg;Raffaele Fidanza, Autoritratto;"Pinacoteca Comunale ""R. Fidanza""";Palazzo Ottoni;Piazza Enrico Mattei;1;MATELICA;0737 781830;biblioteca@comune.matelica.mc.it;http://www.comune.matelica.mc.it/;Arte;Storia;43.255;13.0116;"inv. sab.-dom. festivi e prefestivi 10-12; 16-18est. lun-ven. 16-18; sab.dom. 10-12; 16-18";giorno di chiusura il marted�;Ingresso a pagamento
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/0212/Thumbs/C1110.jpg;"Pinacoteca Podesti, Sala ""Pietro Zampetti""";"Pinacoteca Civica  ""F. Podesti?";Palazzo Bosdari;Via C. Pizzecolli;17;ANCONA;"071.2225041Biglietteria;071.2225045/5055 Direzione";pinacoteca@comune.ancona.it;"www.comune.ancona.it; www.anconacultura.it";Arte;;43.6208;13.5111;CHIUSO PER AMPLIAMENTO;;"Intero: 4.7 ?; ridotto: 3,6 ?; cumulativo (con il museo della citt�): 4,8 ?; croceristi: intero 3?, cumulativo 4?; itinerario lottesco intero: 10 ?, cumulativo: 6 ?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/0220/Thumbs/C1354.jpg;Orazio Gentileschi, Madonna del Rosario, Fabriano;"Pinacoteca Civica ""Bruno Molajoli""";Spedale di Santa Maria del Buon Ges�;Piazza Papa Giovanni Paolo II;2;FABRIANO;0732/250658;pinacoteca.molajoli@comune.fabriano.an.it;http://www.fabrianoturismo.it;Arte;;43.3358;12.904;dal marted� alla domenica 10.00-13.00/16.00-19.00;;"Intero: 4 ?; ridotto: 2,50 ?; scolaresche: 2 ?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/0221/Thumbs/C1408.jpg;Lorenzo Lotto, Annunciazione;Museo Civico Villa Colloredo Mels;Villa Colloredo Mels;Via Gregorio XII, gi� Via del Duomo;snc;RECANATI;071/7570410;spaziocultura@virgilio.it;http://www.villacolloredomels.it;Arte;Archeologia;43.4062;13.5432;Marted� - Domenica. ORARIO INVERNALE: 10/13 - 15/19  ORARIO ESTIVO: 10/13 - 16/20;Orario Invernale: Giugno/Settembre - Orario Estivo: Luglio/Agosto;a pagamento. Biglietto integrato per visitare gli altri musei e chiese delle Marche che conservano opere di Lorenzo Lotto
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/0285/Thumbs/S 13.jpg;Giovanni Angelo di Antonio, Annunciazione;Polo museale di San Domenico - Museo civico e archeologico ? Pinacoteca civica ?Girolamo di Giovanni?;Convento di San Domenico;piazza dei Costanti;4;CAMERINO;0737.402310;musei.civici@unicam.it;http://www.museicivicicamerino.it;Arte;Archeologia;43.1378;13.0713;10-13 16-19 dal marted� alla domenica  estivo 10-13 15-18 dal marted� alla domenica invernale;;"Intero: 3,1 ?; ridotto: 2,1 ?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/0536/Thumbs/IMG0057.jpg;Fortunato Duranti, Autoritratto;Complesso museale: Pinacoteca Civica ?F. Duranti? ? Museo d?Arte sacra ? Museo faunistico dei Monti Sibillini;Palazzo Leopardi;L.go Duranti;snc;MONTEFORTINO;0736/859101;"com.montefortino@provincia.ap.it; <br/> info@pinacotecafortunatoduranti.it";http://www.pinacotecafortunatoduranti.it;Arte;Territoriale;42.942;13.3422;"Luglio e agosto: tutti i giorni 10-13, 16-19; settembre e ottobre: domenica 10.30-12.30, 16-18. Novembre-giugno: su prenotazione.";Per prenotazioni rivolgersi a: D&P Turismo e Cultura 3393466752;"Intero: ?3; ridotto: ?1.50; visita guidata ? 2; gratuito fino a 6 anni e residenti"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/0538/Thumbs/IMG0001.jpg;Vincenzo Pagani, Madonna in gloria con Bambino e Santi Martino, Michele Arcangelo e Giorgio;"Museo Civico di Palazzo Bonomi Gera - Pinacoteca Civica ? Gipsoteca ""U. Gera"" ? Museo Storico Etnografico";Palazzo Bonomi-Gera;Corso Vittorio Emanuele;SNC;RIPATRANSONE;0735.99720;"direzione@museipiceni.it; ripatransone@museipiceni.it";"http://www.museipiceni.it; www.comune.ripatransone.ap.it";Arte;Etnografia e antropologia;43.0004;13.7625;"Gennaio-Giugno: sab e dom 10.30-18.30; luglio-agosto: da mar a dom 16-19; settembre-dicembre: sab e dom 15.30-18.30. Visite su prenotazione (338.2842217).";Audioguida: gratuita. Il biglietto Musei Piceni consente l'accesso ai 4 poli museali di Offida, Ripatransone, Montefiore dell'Aso, Monterubbiano.;"Intero: 3,5 ?; ridotto: 2,5 ?; Polo civico (con Museo archeologico e Teatro): 5?; Musei Piceni: 10?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/0543/Thumbs/IMG0028.jpg;Pagani Vincenzo;Pinacoteca Comunale;Palazzo Comunale;Via G. Garibaldi;60;MASSA FERMANA;0734 760127;com.massafermana@provincia.ap.it;;Arte;;43.1504;13.4756;Luglio-agosto: da luned� a sabato 9-12.30.  Su richiesta tutti i giorni dalle 9,00 alle 13,00.;;
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/0615/Thumbs/29801.jpg;Salimbeni Lorenzo e Jacopo;Oratorio di San Giovanni;;Via Barocci;31;URBINO;0722.328806;;;Arte;;43.7258;12.6346;dal luned� al sabato 10-12.30 e 15-18 domenica 10-12.30;;"Intero: 2 ?; ridotto: 1,5 ?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/0676/Thumbs/CRBC044007XC.jpg;Osvaldo Licini, Ritratto femminile;"Galleria d'Arte Contemporanea ""Osvaldo Licini""";Ascoli Piceno;Corso Mazzini;90;ASCOLI PICENO;0736/248262;musei.civici@comune.ascolipiceno.it;http://www.ascolimusei.it;Arte;;42.855;13.572;10/19 marted�-domenica;;"prezzo intero: 8 ?; prezzo ridotto: 5 ?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/0877/Thumbs/CRBC60422.jpg;Ritratto di Augusto;"Museo Civico Archeologico ""A. Casagrande""";palazzo Della Rovere (S.I.R.Pa.C. palazzo Albani-Compiano);piazza Livia della Rovere;2;CASTELLEONE DI SUASA;071966770;info@consorziosuasa.com;http://www.consorziosuasa.it;Archeologia;;43.6091;12.9772;"dom palme-30/6 e 1/9-8/12:sab,dom e fest ore 15,30-19,30; 1/7-31/8:mart-dom 16-20; dom anche 10-12";aperto su prenotazione per gruppi e in occasione di numerose ricorrenze locali e nazionali.;"prezzo intero: 3 ?; prezzo ridotto: 2,5 ?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1151/Thumbs/CRBC12385YH.jpg;interno;"Orto Botanico ""Carmela Cortini"" Universit� di Camerino";;Viale Guglielmo Oberdan;SNC;CAMERINO;0737.403084;ortobotanico@unicam.it;http://www.unicam.it/ortobotanico/;Specializzato;Storia naturale e scienze naturali;43.1363;13.0704;Luned�-sabato dalle 9.00 alle 13.00 e dalle 15.00 alle 18.00 escluso il mercoled� e il sabato pomeriggio;Solo su prenotazione la domenica;Ingresso libero, visite guidate a pagamento
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1151/Thumbs/CRBC12403XA.jpg;Ruota in pietra per frantoio;Museo di Storia della Mezzadria ?Sergio Anselmi?;Convento delle Grazie;Strada Comunale delle Grazie;2;SENIGALLIA;071.7923127;m.storiamezzadria@libero.it;http://www.comune.senigallia.an.it;Etnografia e antropologia;Territoriale;43.7065;13.1873;Da marted� a domenica 8.30-12.00/venerd� 8.30-12.00 e 16.00-18.00;da aggiungere anche aperture straordinarie pomeridiane o nelle festivit� come Pasqua, Natale, ecc.;
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1151/Thumbs/CRBC12418XA.jpg;sotterranei dell'ex Convento di San Marco, MOMBAROCCIO;Museo della Civilt� Contadina;;P.zza Barocci;2;MOMBAROCCIO;0721.470799;proloco_mombaroccio@libero.it;http://digilander.libero.it/proloco_mombaroccio;Etnografia e antropologia;Storia;43.7968;12.855;INVERNO 15-18 ESTATE 9-12 /16-19;;ingresso gratuito
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1151/Thumbs/CRBC12424YL.jpg;camera da letto;Museo delle Arti e Tradizioni Popolari;ex convento di Santa Margherita - Palazzo Montanari;via Montanari;1;SASSOFERRATO;0732 9561;info@comune.sassoferrato.an.it;http://www.comune.sassoferrato.an.it;Etnografia e antropologia;Territoriale;43.4329;12.8578;Marted�-domenica 10,30-12,30, marted�, gioved�, sabato e domenica anche 16-19.;;"prezzo intero: 3 ?; prezzo ridotto: 1,5 ?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1151/Thumbs/CRBC12465XA.jpg;Museo Comunale Laurentino - Museo etnografico africano (Sierra Leone), SAN LORENZO IN CAMPO;Museo Archeologico del Territorio e Museo Etnografico Africano;Palazzo Della Rovere;via Giuseppe Mazzini;2;SAN LORENZO IN CAMPO;0721.776516 - 333.4766569;comune.san-lorenzo@provincia.ps.it;"http://www.consorziosuasa.it; www.comune.sanlorenzoincampo.pu.it";Archeologia;Etnografia e antropologia;43.604;12.9442;Pasqua-settembre: 10-12/15-18. Inverno a richiesta;;Ingresso a pagamento
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1151/Thumbs/CRBC12482YJ.jpg;"Museo Geopaleontologico Naturalistico Antropico Ornitologico ""Brancaleoni"", PIOBBICO";"Museo Civico Statale ""Brancaleoni""";Castello Brancaleoni;Via Brancaleoni;6;PIOBBICO;0722/985418;servizioturismo@comune.piobbico.pu.it;http://www.comune.piobbico.pu.it;Storia naturale e scienze naturali;Archeologia;43.5902;12.5127;Feriali 9:00-12:00, 14:30-18:30    Festivi 10:30-13:00, 15:30-18:30;;"Intero: 4 ?; ridotto: 2 ?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1151/Thumbs/CRBC12538YT.jpg;Testa di Adriano;Musei di Palazzo Ducale: Museo Civico ?A. Vernarecci? e Pinacoteca Civica;;Via Conte Federico da Montefeltro;16;FOSSOMBRONE;0721 740291;puntoiat@comune.fossombrone.ps.it;http://www.comune.fossombrone.ps.it;Archeologia;Arte;43.6902;12.8068;sabato e domenica, dalle 16 alle 19 fino al 31 dicembre(aperture straordinarie tel.0721 72 32 63);;"Intero: 4 ?; ridotto: 3 ?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1153/Thumbs/CRBC60719XA.jpg;Antiquarium Statale, NUMANA;Antiquarium statale;;Via La Fenice;4;NUMANA;071.9331162;;www.archeomarche.it;Archeologia;;43.5134;13.6209;Tutti i giorni: 8.30-19.30. Chiuso 1 gennaio, 1 maggio, 25 dicembre.;;"Intero ? 2; ridotto ? 1dai 18 ai 25 anni; gratuito under 18-over 65"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1156/Thumbs/CRBC61364XA.jpg;Testa di Venere, da Cupra Marittima;"Museo Civico Archeologico ""C. Cellini""";Palazzo comunale;Piazza XX Settembre;SNC;RIPATRANSONE;0735.99329;"direzione@museipiceni.it; ripatransone@museipiceni.it";"http://www.museipiceni.it; www.comune.ripatransone.ap.it";Archeologia;;43.0007;13.7624;Il museo � aperto tutti i giorni: 10-12, 16-19. Chiuso il luned�.;Il biglietto Musei Piceni consente l'accesso ai 4 poli museali di Offida, Ripatransone, Montefiore dell'Aso, Monterubbiano.;"Intero: 2,5 ?; ridotto: 1,5?; Polo civico (con Palazzo Bonomi Gera e Teatro) 5?; Musei Piceni: 10?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1267/Thumbs/41028006ft08.jpg;MONDAVIO;Museo di Rievocazione Storica  della Rocca Roveresca;Centro Storico;Piazza Giovanni della Rovere;snc;MONDAVIO;0721/97101;comune.mondavio@provincia.ps.it;http://www.comune.mondavio.pu.it;Storia;;43.6742;12.9685;9 - 12  /  15 - 19;;"5 ? intero; 3 ? ridotto (gruppi 15 persone, ultra 65, ragazzi 6-14 anni); scuole che svolgono laboratori ?2.50"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1281/Thumbs/109A.jpg;Formella di terracotta, Nativit�, XV secolo;Museo Civico Parrocchiale Maria Crocifisso Satellico;Ostra Vetere;P.zza Satellico;3;OSTRA VETERE;071/965963;seg.ostravetere@provincia.ancona.it;http://www.sistemamuseale.provincia.ancona.it;Arte;;43.6036;13.0577;"da marzo a giugno,settembre,ottobre : lun e mart 9-12; dal lun al ven 15-19.Novembre,dicembre: lun,mart,giov 16-19";"orario estivo: Luglio, agosto: tutti i giorni: 9-12; 16-20 (chiuso domenica mattina).";
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1281/Thumbs/114A.jpg;Busto della dea Iside, II sec. d. C.;Museo Archeologico Sentinate e Sala Perottiana;Palazzo dei Priori;piazza Matteotti;10;SASSOFERRATO;0732 956231;info@comune.sassoferrato.an.it;http://www.comune.sassoferrato.an.it;Archeologia;Arte;43.4357;12.8583;Marted�-domenica 10.30-12.30, marted�, gioved�, sabato e domenica 16-19.;;"prezzo intero: 3 ?; prezzo ridotto: 1,5 ?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1281/Thumbs/117A.jpg;Museo della miniera di zolfo di Cabernardi, interno;Museo della Miniera di Zolfo di Cabernardi;Frazione Cabernardi;Via Contrada Nuova;1;SASSOFERRATO;;;www.minieracabernardi.it;Specializzato;Territoriale;43.5074;12.8663;"Dal 01/01 al 15/06  e dal 16/09 al 31/12 sab., dom. e fest. 15-18; dal 16/06 al 15/09 mart.-dom. 10.30-12.30, 16-19 sab. 21-23";;
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1281/Thumbs/118A.jpg;Una delle sale della Civica Raccolta d'Arte;Civica Raccolta d'Arte;Palazzo Oliva;piazza Matteotti;4;SASSOFERRATO;"0732.956218; 0732.956205";info@comune.sassoferrato.an.it;"www.sassoferratocultura.it; www.comune.sassoferrato.an.it";Arte;;43.435;12.8583;;;
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1281/Thumbs/120A.jpg;"Enzo Cucchi, Bozzetto del sipario del teatro ""La Fenice"" di Senigallia";Museo di Arte Moderna, dell'Informazione e della Fotografia;;Via Pisacane;84;SENIGALLIA;071.60424;artemoderna@musinf-senigallia.it;http://www.musinf-senigallia.it;Arte;Specializzato;43.7126;13.2178;"Marted�-Venerd� ore 8.30-12.30; 15.45-18.30Sabato ore 8.30-12.30";;
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1281/Thumbs/123A.jpg;Museo Pio IX, Camera da letto;Museo Pio IX -Palazzo Mastai;Palazzo Mastai;Via G. M. Mastai;14;SENIGALLIA;071.60649;palazzomastai@pionono.it;http://www.diocesisenigallia.it/;Arte;Storia;43.7147;13.2174;Tutti i giorni feriali 9-12 e 17-19;;
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1281/Thumbs/127A.jpg;Federico Barocci, Madonna del Rosario, part.;Pinacoteca Diocesana d?Arte Sacra;Episcopio;Piazza Garibaldi;3;SENIGALLIA;071.65758;diocesi@senigallia.chiesacattolica.it;http://www.diocesisenigallia.it;Arte;;43.7141;13.2148;Dal 1 aprile al 31 maggio: sabato e domenica 9-12, 16-19. Dal 1 giugno al 30 settembre: mercoled� 21-24, sabato 16.30-19.30, domenica 21-24. Dal 1 ottobre al 30 dicembre: sabato e domenica 9-12, 16-19. Gennaio, febbraio, marzo: chiuso.;;Ingresso gratuito
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1281/Thumbs/13A.jpg;Museo della Citt�, interno;Museo della Citt�;;Piazza del Plebiscito;SNC;ANCONA;071. 2225037;"museodellacitt�@comune.ancona.it; pinacoteca@comune.ancona.it";"www.comune.ancona.it; www.anconacultura.it";Storia;Archeologia;43.6195;13.5122;Orario invernale: da marted� a domenica: 10-13, 16-19. Luned� chiuso. Orario estivo: 15 giugno - 15 settembre: da marted� a venerd� 17-20, sabato, domenica e festivi: 10-13, 17-20. Chiuso i luned� non festivi, 1 gennaio, 1 maggio, 25 dicembre.;Ogni prima domenica del mese � prevista una visita guidata gratuita del Museo alle ore 17.30.;Ingresso gratuito
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1281/Thumbs/16A.jpg;Plastico del giacimento paleolitico di Ponte di Pietra;Museo Archeologico Statale;Complesso di S. Francesco;Corso Mazzini;64;ARCEVIA;0731.9622;;http://www.archeomarche.it;Archeologia;;43.4997;12.9398;Luned�, mercoled� e gioved� 13.30 - 19.30, marted�, venerd�, sabato, domenica e festivi 8.30 -13.30. Chiuso la prima domenica del mese.;;Intero ?  1,00 - Ridotto ? 0,50 - gratuito fino a 18 anni e dopo i 65 anni
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1281/Thumbs/21A.jpg;Luca Signorelli, Battesimo di Ges�;Raccolta della Collegiata di San Medardo;Collegiata San Medardo;via San Medardo;snc;ARCEVIA;0731 9444;donsergiozandri@alice.it;http://www.arceviaweb.it/hostarceviaweb/Turismo/SanMedardo/museo_parrocchiale.htm;Arte;;43.5007;12.9406;Non vi � orario di apertura.;Su richiesta.;
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1281/Thumbs/26A.jpg;Stamnos a figure rosse;Civiche Raccolte Museali;Ex convento MM. Conventuali San Francesco;via San Francesco;24;CAMERANO;071730301;info@comune.camerano.an.it;http://www.comune.camerano.an.it;Arte;Specializzato;43.531;13.5526;"Luned� 11.00 - 13.00; mercoled� 09.00 12.00; gioved� 15.30 - 18.00.";;
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1281/Thumbs/32A.jpg;Benedetto Nucci, Madonna del Rosario e Santi;Museo Comunale di Villa Coppetti;;Via Guglielmo Marconi;30;CASTELBELLINO;0731-77881;costarelli@castelbellino.pannet.it;;Arte;Archeologia;43.4873;13.1452;aperto su richiesta, orari d?ufficio;;ingresso gratuito
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1281/Thumbs/33A.jpg;Museo della Fisarmonica, interno;Museo Internazionale della Fisarmonica;palazzo comunale;via Mordini;1;CASTELFIDARDO;071 7808288;accordionsmuseum@tiscali.it;http://www.castelfidardo.it/visitatore;Specializzato;;43.4645;13.5465;lunedi 15.30-18.30, da martedi a domenica 10.00-12.00, 15.30-18.30;;"prezzo intero: 3 ?; prezzo ridotto: 1,5 ?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1281/Thumbs/35A.jpg;Museo del Risorgimento, interno;Museo del Risorgimento;Palazzo Mordini;via Mazzini;5;CASTELFIDARDO;071 7206592;castelfidardo@italianostra.org;http://www.castelfidardo.it/visitatore;Storia;Specializzato;43.4649;13.5451;da martedi a sabato,dalle 16.30 alle 19.30;Il museo � aperto anche al di fuori di tale orario, su debita richiesta e per visite guidate;
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1281/Thumbs/37A.jpg;Luca delle Fibbie, Annunciazione;Raccolta di opere d?arte Antica Farmacia Giuli;;piazza Marconi;8;CERRETO D'ESI;0732679000;segreteria@comune.cerretodesi.an.it;http://www.cerretodesi.pannet.it;Arte;Specializzato;43.321;12.9841;"fine settimana 15.00/19.00; apertura straordinaria in occasione di festivit� e sagre e su richiesta";;
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1281/Thumbs/38A.jpg;Claudio Ridolfi, Elemosina di San Tommaso di Villanova;"Civica Raccolta d?Arte ?C. Ridolfi""";ex convento delle Benedettine;piazza del Cassero;SNC;CORINALDO;071.67782;"iat1@corinaldo.it; p.pirani@corinaldo.it";http://www.web.tiscali.it/pinacotecacorinaldo/;Arte;;43.6501;13.0467;;;"prezzo intero: 2,5 ?; prezzo ridotto: 2 ?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1281/Thumbs/3A.jpg;Ansa bronzea con raffigurazione del despotes ther�n, VI sec. a. C.;Museo Archeologico Nazionale delle Marche;Palazzo Ferretti;via G. Ferretti;6;ANCONA;071.202602;sba-mar.museoancona@beniculturali.it;"http://www.archeomarche.it/musarch.htm; http://museoarcheologicomarche.wordpress.com/";Archeologia;;43.6231;13.5109;"Da marted� a domenica 8.30-19.30; chiuso luned�, 25 dicembre, 1 gennaio e 1 maggio.";;Intero ? 4,00, ridotto ? 2,00 (18-25, insegnanti), gratuito fino a 18 ed oltre 65 anni, ICOM, dipendenti MiBAC, scolaresche, studenti discipline storico artistiche
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1281/Thumbs/40A.jpg;Antiquarium, interno;Antiquarium di Santa Maria in Portuno;Santa Maria del Piano;;;CORINALDO;338 8780109;info@santamariainportuno.it;http://www.santamariainportuno.it;Archeologia;;43.6668;13.038;"Apertura: giorni festivi: dalle 9.00 alle 12.00 e dalle 13.00 alle 20.00; giorni feriali solo su appuntamento";;
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1281/Thumbs/59A.jpg;Museo Arte Storia e Territorio, interno;Museo di Genga. Arte, storia e territorio;Palazzo Fiumi - Sermattei (Palazzo Della Genga);viale Corridoni;snc;GENGA;0732 97211;grotte@frasassi.com;http://www.frasassi.com;Arte;Storia;43.4296;12.9352;"1/4-30/9: 10.30-13.30/15-18; 1/10-31/3: mar-sab 10.30-13.30, dom. e fest.10.30-13.30/15-18";chiuso dal 10 al 30 gennaio, il I� gennaio, il 4 e il 25 dicembre, come lo Speleopaleo e le Grotte.;"prezzo intero: 4 ?; prezzo ridotto: 1 ?"
